Country ,2019,2020,2021,2022,2023
Aruba,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062
Africa Eastern and Southern,1493.780445,1344.080962,1522.590088,1628.024526,1659.51529
Afghanistan,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171
Africa Western and Central,1783.654365,1664.249176,1747.840549,1777.235012,1568.72431
Angola,2189.855714,1449.922867,1925.874661,2929.694455,2308.159767
Albania,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134
Andorra,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
Arab World,6525.211843,5648.341118,6445.807261,7658.40647,7292.210408
United Arab Emirates,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
Argentina,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273
Armenia,4597.228874,4268.680933,4685.179971,6571.974455,8053.010663
Antigua and Barbuda,18884.37297,15360.45442,17340.37907,20117.76533,21787.10173
Australia,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
Austria,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Azerbaijan,4805.753718,4229.910649,5408.045352,7770.594223,7125.908584
Burundi,210.2364945,210.0081399,214.0914554,250.6342254,193.0071456
Belgium,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Benin,1130.821353,1197.501364,1318.834978,1264.70766,1394.373302
Burkina Faso,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101
Bangladesh,2129.79897,2248.850788,2482.849178,2716.485927,2551.017727
Bulgaria,9838.60059,10198.53883,12274.0776,13644.20158,15885.53913
Bahrain,27259.74386,24342.84446,27147.80839,30616.26107,29218.86056
"Bahamas, The",32979.54013,25155.67254,28682.327,33044.38821,35896.50511
Bosnia and Herzegovina,6122.375345,6130.311332,7295.343824,7655.59421,8638.666202
Belarus,6837.768321,6542.86454,7489.718947,7994.648061,7829.053137
Belize,6190.047923,5227.193638,6122.611586,7068.454783,7459.998151
Bermuda,115798.0408,106973.1757,112712.0251,120897.3112,125841.6025
Bolivia,3503.896011,3099.94219,3384.844865,3643.92827,3686.279965
Brazil,9029.833267,7074.193783,7972.53665,9281.333344,10294.86668
Barbados,20583.72658,18347.11091,18696.7859,22164.02603,23804.02499
Brunei Darussalam,30426.57303,26834.35925,31006.96362,36632.92804,32962.90651
Botswana,7172.089565,6323.314192,7808.20624,8329.040322,7820.232404
Central African Republic,449.2284676,462.8790713,492.2631428,467.359825,495.9788972
Canada,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Central Europe and the Baltics,16475.16148,16450.87751,19144.06855,19502.81693,22637.79501
Switzerland,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
Channel Islands,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
Chile,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
China,10143.86022,10408.71955,12617.5051,12662.58267,12614.06174
