Firm Name ,Firm City ,Firm Country ,Firm Assets Under Managment (AUM) in Millions 
AQR Capital Management,Greenwich,United States,248897
Bridgewater Associates,Westport,United States,235612
Citadel Investment Group,Chicago,United States,234679
Millennium Capital Partners,New York,United States,218000
Renaissance Technologies,East Setauket,United States,165968
Alphadyne Asset Management,New York,United States,120723
Balyasny Asset Management,Chicago,United States,118425
Fortress Investment Group,New York,United States,110894
Goldman Sachs Asset Management,New York,United States,106240
Capula Investment Management LLP,London,United Kingdom,105951
Ares Management,Los Angeles,United States,99062
Point72 Asset Management,Stamford,United States,91332
DE Shaw,New York,United States,82122
Garda Capital,Minneapolis,United States,78067
Tenaron Capital Management,New York,United States,75646
III Capital,Boca Raton,United States,73727
Elliott Management,New York,United States,73511
Field Street Capital Management,New York,United States,68908
Two Sigma Investments,New York,United States,66143
Cerberus Capital Management,New York,United States,61347
Brevan Howard Asset Management,London,United Kingdom,58630
Angelo Gordon & Co.,New York,United States,56276
Lighthouse Investment Partners,Palm Beach Gardens,United States,56235
Element Capital Management,New York,United States,51768
Lyxor Asset Management,Paris,France,47737
Och-Ziff Capital Management,New York,United States,45473
Adage Capital Management,Boston,United States,45471
Viking Global Investors,Greenwich,United States,42123
Tiger Global Management LLC,New York,United States,41172
Pine River Capital Management,Minnetonka,United States,40920
Tudor Investment Corporation,Stamford,United States,38397
Oaktree Capital Management,Los Angeles,United States,38350
Bracebridge Capital,Boston,United States,36808
Symmetry Investments,Hong Kong,Hong Kong,36435
MKP Capital Management,New York,United States,35974
Davidson Kempner Capital Management,New York,United States,35867
Moore Capital Management,New York,United States,35454
Hillhouse Capital,Hong Kong,Hong Kong,35133
Graham Capital Management,Rowayton,United States,34618
BlackRock Alternative Advisors,New York,United States,33250
Apollo Capital,New York,United States,32680
Farallon Capital Management,San Francisco,United States,32384
Lansdowne Partners,London,United Kingdom,31740
Pictet Alternative Investments,Geneva,Switzerland,31715
Select Equity,New York,United States,31643
Lone Pine Capital,Greenwich,United States,30214
Baupost Group,Boston,United States,30214
GAM Fund Management,Hong Kong,Hong Kong,30040
Kayne Anderson Capital Advisors,Los Angeles,United States,29811
Pharo Management,New York,United States,28411
Anchorage Capital Group,New York,United States,28296
BTG Pactual,Sao Paulo,Brazil,28210
GSA Capital,London,United Kingdom,28157
GoldenTree Asset Management,New York,United States,28036
Wellington Management Company LLP,Boston,United States,27210
Capstone Investment Advisors LLC,New York,United States,26990
Brigade Capital Management,New York,United States,26755
Coatue Management,New York,United States,25781
King Street Capital Management,New York,United States,24504
Cheyne Capital,London,United Kingdom,23302
HBK Capital Management,Dallas,United States,23027
Magnetar Capital,Evanston,United States,22958
Lindsell Train Limited,London,United Kingdom,22656
Caxton Associates,New York,United States,22611
Alcentra,London,United Kingdom,22356
Centerbridge Partners LP,New York,United States,21711
Marathon Asset Management,New York,United States,21258
Third Point LLC,New York,United States,21089
Canyon Partners,Los Angeles,United States,20994
Varde Partners,Minneapolis,United States,20980
Benefit Street Partners,New York,United States,20632
York Capital Management,New York,United States,20608
Egerton Capital,London,United Kingdom,20232
Nephila Capital,Larkspur,United States,19793
Arrowstreet Capital,Boston,United States,19600
Winton Capital Management,London,United Kingdom,19243
Appaloosa Management,Short Hills,United States,19100
"Grantham, Mayo, Van Otterloo & Co.",Boston,United States,18960
Marshall Wace,London,United Kingdom,18854
UBS Hedge Fund Solutions,Stamford,United States,18706
Haidar Capital Management,New York,United States,18543
Polar Capital Partners,London,United Kingdom,16752
Platinum Asset Management,Sydney,Australia,16431
MJX Asset Management,New York,United States,16056
Wafra Investment Group,New York,United States,16035
Neuberger Berman,New York,United States,15900
KLS Diversified,New York,United States,15891
Algebris Investments,London,United Kingdom,15864
Horsley Bridge Partners,San Francisco,United States,15811
CarVal Investors,Minneapolis,United States,15734
Danske Capital,Copenhagen,Denmark,15500
LMR Partners,London,United Kingdom,15350
Crestline Investors,Fort Worth,United States,15317
OrbiMed Advisors,New York,United States,14910
BlueMountain Capital,New York,United States,14806
Bayview Asset Management,Coral Gables,United States,14700
Man Group,London,United Kingdom,14657
Aviva Investors,London,United Kingdom,14553
LaSalle Investment Management,Chicago,United States,14321
Brummer and Partners,Stockholm,Sweden,14200
