Country ,Average Life Expectancy ,Female Life Expectancy ,Male Life Expectancy 
Hong Kong,85.77,88.39,83.1
Japan,85,88.03,81.99
South Korea,84.53,87.4,81.44
French Polynesia,84.31,86.74,82.03
Switzerland,84.23,86.06,82.34
Australia,84.21,85.97,82.43
Italy,84.03,86.01,81.94
Singapore,84,86.48,81.53
Spain,83.96,86.59,81.27
Réunion,83.8,86.57,80.81
Malta,83.63,85.51,81.69
Norway,83.61,85.09,82.11
France,83.58,86.31,80.73
Sweden,83.58,85.34,81.84
Macao,83.42,85.49,81.26
United Arab Emirates,83.23,84.44,82.37
Iceland,83.15,84.57,81.8
Martinique,82.89,85.84,79.63
Canada,82.88,85.03,80.74
Israel,82.77,84.81,80.67
Ireland,82.75,84.72,80.79
Portugal,82.72,85.37,79.89
Qatar,82.68,83.6,81.96
Luxembourg,82.49,84.06,80.91
Netherlands,82.45,83.98,80.89
Belgium,82.43,84.57,80.26
Guadeloupe,82.4,85.77,78.56
New Zealand,82.39,84,80.77
Austria,82.29,84.57,79.97
Denmark,82.25,84.1,80.39
Finland,82.24,84.91,79.6
Greece,82.22,84.6,79.74
Puerto Rico,82.08,85.5,78.5
Cyprus,81.99,83.93,80.05
Slovenia,81.94,84.58,79.33
Germany,81.71,84.01,79.42
United Kingdom,81.6,83.45,79.72
Bahrain,81.58,82.26,81.03
Chile,81.54,83.37,79.67
Maldives,81.51,83.17,80.2
Costa Rica,81.19,83.72,78.6
Taiwan,80.94,83.88,78.09
Kuwait,80.78,82.15,79.63
Oman,80.45,82.21,78.95
Czech Republic (Czechia),80.11,82.85,77.35
Panama,79.96,82.84,77.1
Albania,79.95,81.74,78.12
United States,79.61,82.11,77.22
Estonia,79.48,83.3,75.35
Saudi Arabia,79.19,81.51,77.56
New Caledonia,79.07,81.53,76.63
Poland,78.98,82.61,75.31
Croatia,78.92,81.95,75.8
Slovakia,78.65,81.84,75.41
Uruguay,78.45,82.17,74.59
Cuba,78.45,80.84,76.06
China,78.37,81.25,75.65
Bosnia and Herzegovina,78.24,81.23,74.88
Jordan,78.13,80.46,76.06
Peru,78.12,80.45,75.82
Colombia,78.09,80.77,75.36
Lebanon,78.08,79.99,76.02
Iran,78.05,79.99,76.22
Antigua and Barbuda,77.94,80.6,74.93
Sri Lanka,77.85,80.9,74.65
Turkey,77.82,80.82,74.94
Ecuador,77.76,80.46,75.08
Argentina,77.69,80.16,75.14
North Macedonia,77.68,79.83,75.41
Guam,77.63,81.74,73.89
Montenegro,77.43,80.6,74.12
French Guiana,77.37,80.3,74.52
Hungary,77.33,80.46,74.07
Curaçao,77.17,81.1,72.87
Serbia,77.14,80.35,73.89
Malaysia,76.99,79.67,74.63
Tunisia,76.9,79.5,74.34
Thailand,76.83,81.17,72.65
Algeria,76.69,78.13,75.3
Aruba,76.64,79.06,73.99
Barbados,76.49,78.91,73.93
Latvia,76.48,80.72,71.94
Mayotte,76.42,78.68,74.45
Cabo Verde,76.4,79.53,73.25
Lithuania,76.32,80.92,71.61
Romania,76.25,79.82,72.74
Brazil,76.2,79.3,73.14
Armenia,76.01,79.73,71.76
Bulgaria,75.96,79.51,72.52
U.S. Virgin Islands,75.92,81.6,70.95
Morocco,75.68,77.96,73.54
Brunei,75.67,77.9,73.65
Grenada,75.52,78.64,72.67
Mexico,75.45,78.17,72.63
Mauritius,75.27,78.5,72.28
Nicaragua,75.27,77.74,72.64
Bangladesh,75.19,76.94,73.55
Vietnam,74.88,79.49,70.23
Ukraine,74.86,79.54,69.99
Bahamas,74.86,78.46,71.21
Georgia,74.82,79.36,69.93
Belarus,74.79,79.37,69.94
Azerbaijan,74.73,77.44,71.86
Kazakhstan,74.67,78.65,70.43
Paraguay,74.11,77.22,71.14
Dominican Republic,73.99,77.23,70.79
Belize,73.9,76.83,71.23
Suriname,73.9,77.12,70.73
North Korea,73.86,76.02,71.66
Trinidad and Tobago,73.75,76.96,70.64
Bhutan,73.53,75.55,71.82
Russia,73.52,79.32,67.69
Tonga,73.23,76.69,69.64
Honduras,73.22,75.85,70.65
Libya,73.19,75.26,71.23
Seychelles,73.14,76.83,70.23
State of Palestine,73.1,76.86,69.72
Saint Lucia,73,76.6,69.6
Syria,72.99,75.42,70.58
Guatemala,72.89,75.21,70.57
Venezuela,72.84,76.82,69.05
Uzbekistan,72.66,75.7,69.68
Iraq,72.53,74.33,70.59
El Salvador,72.52,76.7,67.99
India,72.48,74.13,70.95
Mongolia,72.24,76.88,67.75
Tajikistan,72.05,74.29,69.78
Egypt,71.99,74.22,69.82
Kyrgyzstan,71.97,75.56,68.44
Samoa,71.95,73.97,70.06
Vanuatu,71.84,74.31,69.74
Micronesia,71.81,74.79,68.97
Micronesia,71.81,74.79,68.97
Western Sahara,71.78,73.99,70.06
Jamaica,71.73,74.3,69.17
St. Vincent & Grenadines,71.51,74.62,68.89
Moldova,71.47,75.81,66.83
Indonesia,71.44,73.61,69.29
Cambodia,70.97,73.53,68.29
Nepal,70.9,72.42,69.32
Solomon Islands,70.83,72.34,69.47
Guyana,70.45,74.22,66.73
Turkmenistan,70.33,73.17,67.13
Sao Tome & Principe,70.08,74.08,66.57
Philippines,70.07,73.11,67.1
Yemen,69.58,71.71,67.49
Laos,69.47,71.8,67.25
Botswana,69.43,72.01,66.9
Senegal,69.16,71.26,67.21
Eritrea,69.15,71.22,67
Mauritania,68.94,70.97,66.9
Bolivia,68.91,71.51,66.42
Uganda,68.71,71.6,65.7
Gabon,68.7,71.45,66.23
Rwanda,68.24,70.39,65.92
Timor-Leste,68.13,69.92,66.47
Pakistan,67.94,70.47,65.58
Ethiopia,67.88,71.3,64.62
Malawi,67.74,70.96,64.45
Namibia,67.66,71.63,63.6
Fiji,67.62,69.72,65.6
Tanzania,67.42,70.21,64.59
Myanmar,67.3,70.59,64.18
Comoros,67.25,69.45,65.22
Kiribati,66.72,68.48,64.79
Sudan,66.7,70.02,63.61
Zambia,66.7,69.07,64.25
Afghanistan,66.54,68.08,64.94
South Africa,66.49,69.97,62.95
Djibouti,66.41,68.96,63.92
Papua New Guinea,66.39,69.34,63.94
Gambia,66.25,67.96,64.53
Congo,66.2,67.94,64.51
Ghana,65.89,68.36,63.49
Haiti,65.3,68.67,62.07
Angola,64.98,67.54,62.44
Guinea-Bissau,64.41,66.72,61.96
Eswatini,64.4,67.26,61.45
Cameroon,64.25,66.52,62.05
Equatorial Guinea,64.1,66.1,62.4
Madagascar,64.04,65.82,62.31
Kenya,64.01,66.32,61.8
Burundi,63.97,66.06,61.89
Mozambique,63.97,66.93,60.66
Zimbabwe,63.35,65.61,60.75
Togo,63.14,63.39,62.87
Liberia,62.47,63.8,61.14
Côte d'Ivoire,62.28,64.49,60.32
DR Congo,62.23,64.4,60.1
Sierra Leone,62.15,63.9,60.41
Niger,61.66,62.66,60.69
Burkina Faso,61.47,63.62,59.28
Benin,61.14,62.61,59.68
Guinea,61.06,62.27,59.8
Mali,60.89,62.38,59.46
Somalia,59.11,61.7,56.63
